grande_area,area,sub_area,espec
CIENCIAS_EXATAS_E_DA_TERRA,Física das Partículas Elementares e Campos,Física das Partículas Elementares e Campos,Teorias Específicas e Modelos de Interação; Sistemática de Partículas; Raios Cósmicos
CIENCIAS_EXATAS_E_DA_TERRA,Física Geral,Física Geral,Relatividade e Gravitação
CIENCIAS_EXATAS_E_DA_TERRA,Física das Partículas Elementares e Campos,Física das Partículas Elementares e Campos,Teoria Geral de Partículas e Campos
CIENCIAS_EXATAS_E_DA_TERRA,Física Geral,Física Geral,Relatividade e Gravitação
ENGENHARIAS,Medidas Elétricas\, Magnéticas e Eletrônicas; Instrumentação,Medidas Elétricas\, Magnéticas e Eletrônicas; Instrumentação,Instrumentação Eletrônica
CIENCIAS_EXATAS_E_DA_TERRA,Física Nuclear,Física Nuclear,Reações Nucleares e Espalhamento (Reações Específicas)
CIENCIAS_EXATAS_E_DA_TERRA,Física das Partículas Elementares e Campos,Física das Partículas Elementares e Campos,Teorias Específicas e Modelos de Interação; Sistemática de Partículas; Raios Cósmicos
CIENCIAS_EXATAS_E_DA_TERRA,Física das Partículas Elementares e Campos,Física das Partículas Elementares e Campos,Teorias Específicas e Modelos de Interação; Sistemática de Partículas; Raios Cósmicos
CIENCIAS_EXATAS_E_DA_TERRA,Física das Partículas Elementares e Campos,Física das Partículas Elementares e Campos,Teorias Específicas e Modelos de Interação; Sistemática de Partículas; Raios Cósmicos
CIENCIAS_EXATAS_E_DA_TERRA,Física das Partículas Elementares e Campos,Física das Partículas Elementares e Campos,Reações Específicas e Fenomiologia de Partículas
CIENCIAS_EXATAS_E_DA_TERRA,Física das Partículas Elementares e Campos,Física das Partículas Elementares e Campos,Reações Específicas e Fenomiologia de Partículas
CIENCIAS_EXATAS_E_DA_TERRA,Física das Partículas Elementares e Campos,Física das Partículas Elementares e Campos,Reações Específicas e Fenomiologia de Partículas
CIENCIAS_EXATAS_E_DA_TERRA,Física das Partículas Elementares e Campos,Física das Partículas Elementares e Campos,Propriedades de Partículas Específicas e Ressonâncias
CIENCIAS_EXATAS_E_DA_TERRA,Física das Partículas Elementares e Campos,Física das Partículas Elementares e Campos,Reações Específicas e Fenomiologia de Partículas
ENGENHARIAS,Medidas Elétricas\, Magnéticas e Eletrônicas; Instrumentação,Medidas Elétricas\, Magnéticas e Eletrônicas; Instrumentação,Sistemas Eletrônicos de Medida e de Controle
ENGENHARIAS,Eletrônica Industrial\, Sistemas e Controles Eletrônicos,Eletrônica Industrial\, Sistemas e Controles Eletrônicos,Automação Eletrônica de Processos Elétricos e Industriais
ENGENHARIAS,Sistemas Elétricos de Potência,Sistemas Elétricos de Potência,Máquinas Elétricas e Dispositivos de Potência
ENGENHARIAS,Bioengenharia,Bioengenharia,Processamento de Sinais Biológicos
CIENCIAS_EXATAS_E_DA_TERRA,Sistemas de Computação,Sistemas de Computação,Arquitetura de Sistemas de Computação
CIENCIAS_EXATAS_E_DA_TERRA,Sistemas de Computação,Sistemas de Computação,Hardware
CIENCIAS_EXATAS_E_DA_TERRA,Probabilidade,Probabilidade,Processos Markovianos
CIENCIAS_HUMANAS,Ensino-Aprendizagem,Ensino-Aprendizagem,Métodos e Técnicas de Ensino
CIENCIAS_HUMANAS,Ensino-Aprendizagem,Ensino-Aprendizagem,Métodos e Técnicas de Ensino
ENGENHARIAS,Estruturas,Estruturas,Estruturas de Concreto
ENGENHARIAS,Sistemas Elétricos de Potência,Sistemas Elétricos de Potência,Distribuição de Energia Elétrica Redução de Perdas
ENGENHARIAS,Sistemas Elétricos de Potência,Sistemas Elétricos de Potência,Distribuição de Energia Elétrica Redução de Perdas
CIENCIAS_HUMANAS,Filosofia Brasileira,Filosofia Brasileira,
CIENCIAS_HUMANAS,Fundamentos da Educação,Fundamentos da Educação,Filosofia da Educação
CIENCIAS_HUMANAS,Sociologia do Conhecimento,Sociologia do Conhecimento,
CIENCIAS_HUMANAS,Epistemologia,Epistemologia,Filosofia da Mente
CIENCIAS_EXATAS_E_DA_TERRA,Teoria da Computação,Teoria da Computação,Linguagem Formais e Autômatos
CIENCIAS_EXATAS_E_DA_TERRA,Astrofísica Extragalactica,Astrofísica Extragalactica,Cosmologia
LINGUISTICA_LETRAS_E_ARTES,Lingüística Aplicada,Lingüística Aplicada,
CIENCIAS_HUMANAS,Fundamentos da Educação,Fundamentos da Educação,Sociologia da Educação
CIENCIAS_HUMANAS,Filosofia Social,Filosofia Social,
ENGENHARIAS,Engenharia Mecatrônica e de Sistemas Mecânicos,Engenharia Mecatrônica e de Sistemas Mecânicos,
ENGENHARIAS,Engenharia Mecatrônica e de Sistemas Mecânicos,Engenharia Mecatrônica e de Sistemas Mecânicos,
CIENCIAS_EXATAS_E_DA_TERRA,Metodologia e Técnicas da Computação,Metodologia e Técnicas da Computação,Engenharia de Software
CIENCIAS_EXATAS_E_DA_TERRA,Metodologia e Técnicas da Computação,Metodologia e Técnicas da Computação,Linguagens de Programação
CIENCIAS_EXATAS_E_DA_TERRA,Metodologia e Técnicas da Computação,Metodologia e Técnicas da Computação,Sistemas de Informação
ENGENHARIAS,Medidas Elétricas\, Magnéticas e Eletrônicas; Instrumentação,Medidas Elétricas\, Magnéticas e Eletrônicas; Instrumentação,Processamento de Sinais e Instrumentação
CIENCIAS_BIOLOGICAS,Enzimologia,Enzimologia,
